familia,serie,n,d,k,configuracion,nodos,costo,ms,ms_min,ms_max,corridas,estado
estructura,vs_k,24,12,24,ninguna,8388608,0,86.3145,84.880125,87.010167,3,ok
estructura,vs_k,24,12,24,factibilidad,24,0,0.001334,0.001291,0.001417,3,ok
estructura,vs_k,24,12,24,optimalidad,1,0,0.001417,0.001333,0.0015,3,ok
estructura,vs_k,24,12,24,ambas,1,0,0.001084,0.001041,0.001125,3,ok
adversarial,vs_n,8,12,4,ninguna,64,1,0.0015,0.001416,0.0015,3,ok
adversarial,vs_n,8,12,4,factibilidad,36,1,0.001125,0.001042,0.001167,3,ok
adversarial,vs_n,8,12,4,optimalidad,14,1,0.001291,0.001125,0.001333,3,ok
adversarial,vs_n,8,12,4,ambas,9,1,0.001041,0.001,0.001041,3,ok
adversarial,vs_n,10,12,5,ninguna,256,1.414213562,0.003792,0.003792,0.003917,3,ok
adversarial,vs_n,10,12,5,factibilidad,140,1.414213562,0.002625,0.002625,0.002959,3,ok
adversarial,vs_n,10,12,5,optimalidad,32,1.414213562,0.002167,0.002042,0.002208,3,ok
adversarial,vs_n,10,12,5,ambas,17,1.414213562,0.001583,0.0015,0.001584,3,ok
adversarial,vs_n,12,12,6,ninguna,1024,1,0.012208,0.012167,0.012792,3,ok
adversarial,vs_n,12,12,6,factibilidad,540,1,0.007,0.006958,0.007125,3,ok
adversarial,vs_n,12,12,6,optimalidad,6,1,0.001125,0.001125,0.00125,3,ok
adversarial,vs_n,12,12,6,ambas,5,1,0.001,0.000958,0.001041,3,ok
adversarial,vs_n,14,12,7,ninguna,4096,1,0.046875,0.046625,0.047208,3,ok
adversarial,vs_n,14,12,7,factibilidad,2079,1,0.024,0.023958,0.024125,3,ok
adversarial,vs_n,14,12,7,optimalidad,7,1,0.001375,0.001375,0.001584,3,ok
adversarial,vs_n,14,12,7,ambas,6,1,0.001208,0.001166,0.001209,3,ok
adversarial,vs_n,16,12,8,ninguna,16384,1,0.185584,0.179291,0.241958,3,ok
adversarial,vs_n,16,12,8,factibilidad,8008,1,0.090875,0.090458,0.092584,3,ok
adversarial,vs_n,16,12,8,optimalidad,12,1,0.001958,0.001958,0.002083,3,ok
adversarial,vs_n,16,12,8,ambas,9,1,0.00175,0.001667,0.002,3,ok
adversarial,vs_n,18,12,9,ninguna,65536,1,0.718291,0.71425,0.727042,3,ok
adversarial,vs_n,18,12,9,factibilidad,30888,1,0.341833,0.341667,0.346083,3,ok
adversarial,vs_n,18,12,9,optimalidad,41,1,0.00375,0.003666,0.004,3,ok
adversarial,vs_n,18,12,9,ambas,30,1,0.002875,0.002833,0.002916,3,ok
adversarial,vs_n,20,12,10,ninguna,262144,1,2.79775,2.75025,2.838541,3,ok
adversarial,vs_n,20,12,10,factibilidad,119340,1,1.282292,1.279833,1.303792,3,ok
adversarial,vs_n,20,12,10,optimalidad,17,1,0.002875,0.00275,0.002917,3,ok
adversarial,vs_n,20,12,10,ambas,13,1,0.002083,0.002,0.002167,3,ok
adversarial,vs_n,22,12,11,ninguna,1048576,1,11.36775,11.302583,11.598791,3,ok
adversarial,vs_n,22,12,11,factibilidad,461890,1,5.023417,4.934084,5.027417,3,ok
adversarial,vs_n,22,12,11,optimalidad,26,1,0.004084,0.003583,0.00425,3,ok
adversarial,vs_n,22,12,11,ambas,18,1,0.002667,0.002583,0.002833,3,ok
adversarial,vs_n,24,12,12,ninguna,4194304,1,45.670875,45.552541,46.472792,3,ok
adversarial,vs_n,24,12,12,factibilidad,1790712,1,19.27175,19.016833,19.498708,3,ok
adversarial,vs_n,24,12,12,optimalidad,12,1,0.003125,0.003125,0.003417,3,ok
adversarial,vs_n,24,12,12,ambas,11,1,0.002417,0.002417,0.0025,3,ok
adversarial,vs_n,26,12,13,ninguna,16777216,1,180.05775,176.733375,184.46275,3,ok
adversarial,vs_n,26,12,13,factibilidad,6953544,1,74.886833,74.335375,75.973542,3,ok
adversarial,vs_n,26,12,13,optimalidad,129,1,0.013792,0.013583,0.014083,3,ok
adversarial,vs_n,26,12,13,ambas,94,1,0.009292,0.009084,0.009458,3,ok
adversarial,vs_n,28,12,14,ninguna,67108864,1,708.276041,705.074459,715.565167,3,ok
adversarial,vs_n,28,12,14,factibilidad,27041560,1,283.660041,283.258375,284.011458,3,ok
adversarial,vs_n,28,12,14,optimalidad,76,1,0.008542,0.00825,0.008584,3,ok
adversarial,vs_n,28,12,14,ambas,56,1,0.005709,0.005708,0.006,3,ok
adversarial,vs_k,24,12,2,ninguna,24,1,0.000958,0.00075,0.001208,3,ok
adversarial,vs_k,24,12,2,factibilidad,2,1,0.000459,0.000375,0.0005,3,ok
adversarial,vs_k,24,12,2,optimalidad,2,1,0.000708,0.000667,0.000833,3,ok
adversarial,vs_k,24,12,2,ambas,1,1,0.000458,0.000416,0.000458,3,ok
adversarial,vs_k,24,12,4,ninguna,2048,1.732050808,0.026458,0.026375,0.026542,3,ok
adversarial,vs_k,24,12,4,factibilidad,484,1.732050808,0.006875,0.006875,0.009959,3,ok
adversarial,vs_k,24,12,4,optimalidad,61,1.732050808,0.006166,0.006125,0.00625,3,ok
adversarial,vs_k,24,12,4,ambas,32,1.732050808,0.003291,0.003125,0.0035,3,ok
adversarial,vs_k,24,12,6,ninguna,44552,1,0.534917,0.530417,0.539916,3,ok
adversarial,vs_k,24,12,6,factibilidad,16170,1,0.199584,0.198125,0.20275,3,ok
adversarial,vs_k,24,12,6,optimalidad,6,1,0.001958,0.001875,0.002,3,ok
adversarial,vs_k,24,12,6,ambas,5,1,0.001666,0.001625,0.001708,3,ok
adversarial,vs_k,24,12,8,ninguna,390656,1,4.556292,4.531125,4.611084,3,ok
adversarial,vs_k,24,12,8,factibilidad,175560,1,2.064417,2.05725,2.067,3,ok
adversarial,vs_k,24,12,8,optimalidad,60,1,0.005125,0.004875,0.005292,3,ok
adversarial,vs_k,24,12,8,ambas,29,1,0.002959,0.002958,0.003084,3,ok
adversarial,vs_k,24,12,10,ninguna,1698160,1,19.269708,19.037625,19.590916,3,ok
adversarial,vs_k,24,12,10,factibilidad,810084,1,9.094708,9.053042,9.102834,3,ok
adversarial,vs_k,24,12,10,optimalidad,10,1,0.002834,0.002708,0.002958,3,ok
adversarial,vs_k,24,12,10,ambas,9,1,0.002292,0.00225,0.002417,3,ok
adversarial,vs_k,24,12,12,ninguna,4194304,1,45.585667,45.222417,45.657417,3,ok
adversarial,vs_k,24,12,12,factibilidad,1790712,1,19.1705,19.123209,19.438834,3,ok
adversarial,vs_k,24,12,12,optimalidad,12,1,0.003166,0.003083,0.00325,3,ok
adversarial,vs_k,24,12,12,ambas,11,1,0.0025,0.002459,0.003125,3,ok
adversarial,vs_k,24,12,14,ninguna,6690448,1,69.901708,69.874959,70.406584,3,ok
adversarial,vs_k,24,12,14,factibilidad,1998724,1,20.771458,20.509667,20.777375,3,ok
adversarial,vs_k,24,12,14,optimalidad,14,1,0.003375,0.003333,0.004208,3,ok
adversarial,vs_k,24,12,14,ambas,13,1,0.002416,0.00225,0.0025,3,ok
adversarial,vs_k,24,12,16,ninguna,7997952,1,83.775833,83.049958,86.077708,3,ok
adversarial,vs_k,24,12,16,factibilidad,1136960,1,11.016542,10.999542,11.877958,3,ok
adversarial,vs_k,24,12,16,optimalidad,125,1,0.010083,0.009917,0.010333,3,ok
adversarial,vs_k,24,12,16,ambas,89,1,0.005875,0.005666,0.005917,3,ok
adversarial,vs_k,24,12,18,ninguna,8344056,1,86.262167,85.2715,87.413208,3,ok
adversarial,vs_k,24,12,18,factibilidad,319770,1,2.845125,2.836417,2.960583,3,ok
adversarial,vs_k,24,12,18,optimalidad,57,1,0.005916,0.005792,0.005958,3,ok
adversarial,vs_k,24,12,18,ambas,42,1,0.003625,0.003417,0.003708,3,ok
adversarial,vs_k,24,12,20,ninguna,8386560,1,86.109459,85.561,87.844708,3,ok
adversarial,vs_k,24,12,20,factibilidad,40964,1,0.33775,0.336208,0.340292,3,ok
adversarial,vs_k,24,12,20,optimalidad,82,1,0.006834,0.006667,0.007,3,ok
adversarial,vs_k,24,12,20,ambas,54,1,0.003292,0.003083,0.003333,3,ok
adversarial,vs_k,24,12,22,ninguna,8388584,1,86.231625,85.303334,86.451167,3,ok
adversarial,vs_k,24,12,22,factibilidad,2002,1,0.017042,0.016334,0.017083,3,ok
adversarial,vs_k,24,12,22,optimalidad,120,1,0.008209,0.008083,0.008375,3,ok
adversarial,vs_k,24,12,22,ambas,48,1,0.002417,0.002375,0.002667,3,ok
adversarial,vs_k,24,12,24,ninguna,8388608,0,85.831125,84.899792,86.38625,3,ok
adversarial,vs_k,24,12,24,factibilidad,24,0,0.001208,0.001208,0.001209,3,ok
adversarial,vs_k,24,12,24,optimalidad,1,0,0.001375,0.001375,0.001542,3,ok
adversarial,vs_k,24,12,24,ambas,1,0,0.001125,0.001125,0.001541,3,ok
